FireNum, XStart, YStart, Acres
460, 4574544.00, 3234037.00, 3135.77
461, 4541092.00, 3230023.00, 5831.69
462, 4525780.00, 3215546.00, 4319.40
463, 4562646.00, 3243906.00, 150.73
464, 4575832.00, 3257307.00, 1833.52
465, 4525517.00, 3246753.00, 276.76
466, 4557972.00, 3207246.00, 1828.58
467, 4579965.00, 3247336.00, 3051.75
468, 4570238.00, 3226686.00, 2409.28
469, 4579885.00, 3220083.00, 2584.72
470, 4525090.00, 3259932.00, 3170.36
471, 4534322.00, 3224321.00, 17490.12
472, 4569440.00, 3235581.00, 3484.19
473, 4518064.00, 3245456.00, 2273.37
474, 4549395.00, 3228299.00, 3145.65
475, 4567032.00, 3223867.00, 2325.26
476, 4547586.00, 3208331.00, 1282.48
477, 4563073.00, 3227133.00, 1539.47
478, 4546525.00, 3218608.00, 9810.08
479, 4577352.00, 3255080.00, 1833.52
480, 4541839.00, 3222601.00, 3891.91
481, 4580985.00, 3250516.00, 1262.71
482, 4563064.00, 3253094.00, 2792.29
483, 4544991.00, 3219484.00, 11715.27
484, 4576114.00, 3233480.00, 4971.76
485, 4528999.00, 3215985.00, 4415.77
486, 4536048.00, 3224856.00, 12688.86
487, 4551606.00, 3257399.00, 714.13
488, 4569784.00, 3215795.00, 1831.05
489, 4579201.00, 3239722.00, 5278.17
490, 4550692.00, 3232217.00, 3840.02
491, 4583831.00, 3259643.00, 2322.79
492, 4570351.00, 3218519.00, 4393.53
493, 4532899.00, 3222046.00, 13054.58
494, 4558867.00, 3234549.00, 3864.73
495, 4531940.00, 3251882.00, 1576.53
496, 4529365.00, 3231023.00, 2945.50
497, 4566600.00, 3259676.00, 1465.33
498, 4543899.00, 3213868.00, 1134.21
499, 4569568.00, 3228641.00, 3291.44
500, 4518720.00, 3241725.00, 1996.61
501, 4519191.00, 3228993.00, 2186.88
502, 4527166.00, 3201349.00, 7927.14
503, 4546983.00, 3258194.00, 37.07
504, 4560555.00, 3255678.00, 27.18
505, 4535826.00, 3240036.00, 2967.74
506, 4525829.00, 3200746.00, 7316.79
507, 4545191.00, 3221700.00, 10109.08
508, 4543387.00, 3213433.00, 1225.64
509, 4540037.00, 3214306.00, 1618.54
510, 4571515.00, 3224525.00, 3583.03
511, 4571113.00, 3224698.00, 3835.08
512, 4567513.00, 3227397.00, 1593.83
513, 4554875.00, 3242808.00, 395.37
514, 4571502.00, 3247883.00, 3783.18
515, 4583343.00, 3233857.00, 2960.32
516, 4534625.00, 3220133.00, 4766.66
517, 4534848.00, 3221759.00, 9091.01
518, 4563590.00, 3238716.00, 2673.68
519, 4519778.00, 3246291.00, 3422.41
520, 4519792.00, 3222879.00, 3449.59
521, 4575978.00, 3251313.00, 6036.78
522, 4533660.00, 3235435.00, 3041.87
523, 4572706.00, 3226375.00, 2589.66
524, 4534035.00, 3221636.00, 10971.48
525, 4523973.00, 3216553.00, 4104.42
526, 4563205.00, 3262646.00, 926.65
527, 4519227.00, 3228969.00, 2186.88
528, 4519228.00, 3247325.00, 3358.16
529, 4530065.00, 3214103.00, 2414.22
530, 4574166.00, 3203247.00, 1902.71
531, 4583179.00, 3231206.00, 3442.18
532, 4567447.00, 3233838.00, 7418.10
533, 4563020.00, 3208616.00, 2070.74
534, 4573491.00, 3204932.00, 2337.62
535, 4583991.00, 3239195.00, 3469.36
536, 4556202.00, 3210074.00, 3869.67
537, 4540864.00, 3201724.00, 1322.01
538, 4545851.00, 3221479.00, 11747.39
539, 4566286.00, 3239690.00, 8166.83
540, 4526709.00, 3259432.00, 3521.25
541, 4585828.00, 3230014.00, 1371.43
542, 4529428.00, 3215209.00, 4072.30
543, 4520679.00, 3239670.00, 1865.65
544, 4525243.00, 3220253.00, 8967.45
545, 4578963.00, 3237517.00, 6960.96
546, 4566961.00, 3225140.00, 1566.65
547, 4555656.00, 3220294.00, 3476.77
548, 4582798.00, 3201724.00, 924.17
549, 4563139.00, 3229005.00, 2298.08
550, 4526715.00, 3223257.00, 11319.90
551, 4565528.00, 3261388.00, 1267.65
552, 4584953.00, 3233645.00, 2382.10
553, 4551279.00, 3204671.00, 1213.29
554, 4580114.00, 3260434.00, 1564.18
555, 4584132.00, 3252618.00, 1452.98
556, 4568282.00, 3217984.00, 1687.73
557, 4580215.00, 3201957.00, 711.66
558, 4568903.00, 3229267.00, 2248.66
559, 4521602.00, 3195802.00, 143.32
560, 4548378.00, 3260764.00, 662.24
561, 4585929.00, 3245002.00, 1089.73
562, 4578051.00, 3231901.00, 4712.30
563, 4546472.00, 3231403.00, 4257.63
564, 4562060.00, 3196928.00, 1210.82
565, 4573290.00, 3234060.00, 3652.22
566, 4534374.00, 3228837.00, 1428.27
567, 4555473.00, 3196893.00, 1280.01
568, 4581014.00, 3201586.00, 711.66
569, 4582105.00, 3243179.00, 3933.92
570, 4518281.00, 3246652.00, 2957.85
571, 4534774.00, 3222076.00, 6345.67
572, 4570525.00, 3252306.00, 2515.53
573, 4565180.00, 3231287.00, 4445.43
574, 4525783.00, 3232055.00, 2446.34
575, 4528130.00, 3199855.00, 5040.95
576, 4568390.00, 3218014.00, 1630.90
577, 4576146.00, 3253648.00, 2520.47
578, 4540763.00, 3218521.00, 11567.00
579, 4577792.00, 3239868.00, 1719.85
580, 4540342.00, 3225918.00, 3333.45
581, 4550332.00, 3230676.00, 4606.04
582, 4553976.00, 3204915.00, 1015.60
583, 4574992.00, 3203914.00, 1835.99
584, 4572490.00, 3254162.00, 2918.31
585, 4562651.00, 3230271.00, 3093.76
586, 4562050.00, 3196424.00, 926.65
587, 4570572.00, 3234052.00, 378.07
588, 4527930.00, 3217622.00, 8470.77
589, 4570851.00, 3257486.00, 859.93
590, 4569298.00, 3227271.00, 1890.36
591, 4574845.00, 3246129.00, 2713.22
592, 4573306.00, 3252460.00, 1784.10
593, 4561399.00, 3219254.00, 3402.64
594, 4533695.00, 3198901.00, 2238.77
595, 4584366.00, 3224134.00, 5036.01
596, 4528106.00, 3260728.00, 462.09
597, 4562011.00, 3204115.00, 2120.16
598, 4585332.00, 3252506.00, 896.99
599, 4531147.00, 3221384.00, 13482.07
600, 4567924.00, 3218718.00, 1319.54
601, 4572571.00, 3259222.00, 741.32
602, 4530323.00, 3223369.00, 21910.83
603, 4545357.00, 3211884.00, 1801.40
604, 4530223.00, 3243047.00, 3676.93
605, 4557881.00, 3204870.00, 953.83
606, 4565998.00, 3257807.00, 521.39
607, 4572299.00, 3251374.00, 3012.21
608, 4518918.00, 3243647.00, 2248.66
609, 4582091.00, 3243592.00, 3946.27
610, 4554919.00, 3216801.00, 1756.92
611, 4554710.00, 3237473.00, 736.37
612, 4546133.00, 3245609.00, 882.17
613, 4543760.00, 3249372.00, 355.83
614, 4541060.00, 3245163.00, 1989.20
615, 4574562.00, 3257140.00, 2186.88
616, 4541910.00, 3218361.00, 11591.71
617, 4568626.00, 3243300.00, 4.94
618, 4517879.00, 3199171.00, 400.31
619, 4524939.00, 3250132.00, 1776.69
620, 4584820.00, 3223005.00, 5325.12
621, 4536952.00, 3232850.00, 2807.12
622, 4571720.00, 3207550.00, 2.47
623, 4525673.00, 3230540.00, 1771.75
624, 4521774.00, 3243712.00, 1971.90
625, 4579128.00, 3233255.00, 4707.36
626, 4533400.00, 3258507.00, 155.68
627, 4520623.00, 3250982.00, 4252.68
628, 4571834.00, 3246668.00, 2545.19
629, 4584954.00, 3253188.00, 1129.27
630, 4549806.00, 3218526.00, 1462.86
631, 4549435.00, 3255633.00, 832.75
632, 4554299.00, 3254662.00, 34.59
633, 4563081.00, 3239908.00, 3550.90
634, 4563775.00, 3240823.00, 1653.14
635, 4574770.00, 3247694.00, 2777.46
636, 4539184.00, 3222183.00, 2421.63
637, 4576250.00, 3241000.00, 1692.67
